batch,mode,variant,unit,battles,summons,bodies,hp_damage,structure_damage,friendly_damage,armor_damage,hp_taken,armor_absorbed,blocked_damage,evaded_damage,attacks,landed_hits,melee_hits,kills,regular_kills,monster_kills,deaths,banished,goals,survivors,healing,regeneration,charms,poisons,portals,enemy_banishments,friendly_banishments,structures_built,tower_damage,retargets,first_hit_tick,hit_bodies,mean_first_hit_tick
small-buffs,squad,armor1,Kopita,144,144,1.0,3.5833,0.0,0.0,1.0556,5.2986,2.0,0.0,0.0,2.6042,2.6042,2.6042,0.9861,0.9861,0.0,1.0,0.0,0.0,0.0,0.1806,0.1597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.625,0.9931,345.02
small-buffs,squad,armor1,Tumler,144,144,1.0,1.3125,0.0,0.0,1.0208,5.0,2.0,0.0,3.8333,1.1667,1.1667,1.1667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9306,227.2292,0.9861,230.43
small-buffs,squad,armor1,Varn,144,144,3.9583,5.5208,0.0764,0.0,2.0694,7.8611,3.9444,0.0,0.0,7.7639,7.6667,7.625,0.8125,0.8125,0.0,3.9097,0.0,0.0486,0.0,0.0,0.0417,0.0,0.4722,0.0,0.0,0.0,0.0,0.0,0.0,1072.4306,3.7847,283.36
small-buffs,squad,armor2,Dotra,144,144,1.0,6.9861,0.1389,0.0,2.2778,4.7708,3.9722,0.0,0.0,4.3056,4.3056,3.7569,1.2639,1.2639,0.0,0.9097,0.0,0.0903,0.0,0.0,0.1458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,314.4167,1.0,314.42
small-buffs,squad,armor2,Fyra,144,144,1.0,3.8542,0.0,0.0,1.5,5.2222,3.0,0.0,0.0,2.7153,2.7153,2.7153,0.3472,0.3472,0.0,0.9931,0.0,0.0069,0.0,0.0,0.2431,0.3611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.0486,1.0,182.05
small-buffs,squad,armor2,Kopita,144,144,1.0,4.6528,0.0,0.0,1.25,5.4861,3.0,0.0,0.0,3.2778,3.2778,3.2778,1.1528,1.1528,0.0,1.0,0.0,0.0,0.0,0.2778,0.2569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.625,0.9931,345.02
small-buffs,squad,armor2,Tumler,144,144,1.0,1.6389,0.0,0.0,1.0417,5.0,3.0,0.0,3.8333,1.3403,1.3403,1.3403,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9306,230.3681,1.0,230.37
small-buffs,squad,armor2,Varn,144,144,3.9583,8.2014,0.3333,0.0,3.0278,7.3472,7.6528,0.0,0.0,11.7431,11.5625,11.5417,1.4861,1.4861,0.0,3.5764,0.0,0.3819,0.0,0.0,0.1944,0.0,0.5625,0.0,0.0,0.0,0.0,0.0,0.0,1121.2083,3.9167,286.27
commit,duel,committed_hunt,Tumler,192,192,1.0,4.5,1.5,0.0,2.25,3.5104,1.0,0.0,0.2396,4.25,4.25,4.25,0.75,0.75,0.0,0.25,0.0,0.75,0.0,0.0,0.6927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.276,1.0,242.28
commit,duel,committed_hunt_armor3,Tumler,192,192,1.0,5.0,1.5,0.0,2.25,1.3177,3.9427,0.0,0.2396,4.5,4.5,4.5,1.0,1.0,0.0,0.25,0.0,0.75,0.0,0.0,0.0469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.276,1.0,242.28
commit,hunt,committed_hunt,Tumler,144,144,1.0,2.2986,0.0,0.0,1.2292,4.4097,1.0,0.0,2.5764,1.7639,1.7639,1.7639,0.3403,0.3403,0.0,0.6667,0.0,0.3333,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6597,48.0972,1.0,48.1
commit,hunt,committed_hunt_armor3,Tumler,144,144,1.0,3.3542,0.0,0.0,1.5,3.4583,3.9375,0.0,2.8125,2.4931,2.4931,2.4931,0.5208,0.5208,0.0,0.6597,0.0,0.3403,0.0,0.0,0.1458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7431,48.0972,1.0,48.1
commit,squad,committed_hunt,Tumler,144,144,1.0,0.8819,0.0556,0.0,0.9931,5.0069,1.0,0.0,3.9097,0.9653,0.9653,0.9653,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9097,212.4722,0.8958,237.18
commit,squad,committed_hunt_armor3,Tumler,144,144,1.0,1.7153,0.0833,0.0,1.1319,5.0,4.0,0.0,3.9097,1.4653,1.4653,1.4653,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9097,237.4722,1.0,237.47
